Image,Letter,Landmarks 
000210.png,A,"0.6946871280670166,0.6651784181594849,-1.07616097011487e-06,0.6833217144012451,0.526198148727417,-0.04266572743654251,0.6154170632362366,0.41163569688796997,-0.0610462911427021,0.5487537980079651,0.35618117451667786,-0.07508013397455215,0.4859030246734619,0.3331718444824219,-0.08549078553915024,0.48966506123542786,0.4181642234325409,-0.03697030991315842,0.5217632055282593,0.3856393098831177,-0.08486995846033096,0.58311527967453,0.45394742488861084,-0.12264065444469452,0.6270471811294556,0.5164380669593811,-0.14375457167625427,0.4584723114967346,0.4851824641227722,-0.031161190941929817,0.5241186618804932,0.47319087386131287,-0.07760516554117203,0.5902537107467651,0.538000762462616,-0.09964292496442795,0.6368920803070068,0.5858937501907349,-0.1077895313501358,0.4520057439804077,0.556870698928833,-0.03159552440047264,0.5177208781242371,0.5510674118995667,-0.06879819929599762,0.580651581287384,0.5913500189781189,-0.07072968780994415,0.6242040395736694,0.6232466697692871,-0.06532809883356094,0.46129894256591797,0.6258760690689087,-0.03732983395457268,0.5256150960922241,0.6297035217285156,-0.0619836300611496,0.5813307762145996,0.6489596962928772,-0.06289667636156082,0.6124398112297058,0.6574652194976807,-0.057101860642433167"
000211.png,A,"0.7351243495941162,0.5362078547477722,-1.5988061363714223e-07,0.686294674873352,0.416190505027771,-0.043679673224687576,0.5808782577514648,0.3589830696582794,-0.05925830826163292,0.4913606643676758,0.35845911502838135,-0.07195701450109482,0.42497944831848145,0.36756086349487305,-0.07732658088207245,0.4806153476238251,0.42344021797180176,-0.029850779101252556,0.4785674512386322,0.4255931079387665,-0.09422314167022705,0.5505688190460205,0.4378214478492737,-0.1316339671611786,0.5988345742225647,0.44077828526496887,-0.14679591357707977,0.4774932861328125,0.5046647787094116,-0.027097897604107857,0.49383509159088135,0.518550455570221,-0.10095012933015823,0.5732740163803101,0.5087215304374695,-0.12583541870117188,0.626606822013855,0.4963548183441162,-0.1273987591266632,0.4948095977306366,0.5761862993240356,-0.033431198447942734,0.5144873261451721,0.5984422564506531,-0.09935617446899414,0.5910607576370239,0.5727367997169495,-0.10136394947767258,0.6406489610671997,0.5480217337608337,-0.08603508770465851,0.5228573679924011,0.6381666660308838,-0.04442942142486572,0.5478528141975403,0.6540303826332092,-0.09065749496221542,0.6021164655685425,0.6296888589859009,-0.09768760949373245,0.6349242329597473,0.5967510938644409,-0.09039284288883209"
000212.png,A,"0.6965286731719971,0.6670664548873901,-9.544299928165856e-07,0.671831488609314,0.5079834461212158,-0.014509963802993298,0.601058304309845,0.4134975075721741,-0.01933492347598076,0.5372136235237122,0.3730865716934204,-0.027898097410798073,0.48642632365226746,0.34635359048843384,-0.03449072316288948,0.49372023344039917,0.4412927031517029,-0.0012785560684278607,0.5216913819313049,0.3763078451156616,-0.049068618565797806,0.5816340446472168,0.4263498783111572,-0.08458127081394196,0.622387707233429,0.47727853059768677,-0.10368561744689941,0.47065451741218567,0.49761679768562317,-0.011094925925135612,0.5251556038856506,0.4340417683124542,-0.06519997119903564,0.592174232006073,0.5009984374046326,-0.08801637589931488,0.6366368532180786,0.5559635758399963,-0.09366461634635925,0.46647462248802185,0.5528935790061951,-0.027299948036670685,0.5311619639396667,0.49728983640670776,-0.07699012011289597,0.5924857258796692,0.5536584854125977,-0.08299525827169418,0.6287320256233215,0.6031069159507751,-0.07590202987194061,0.47252756357192993,0.6089500188827515,-0.04572514072060585,0.529229998588562,0.5666213631629944,-0.07722586393356323,0.5854911208152771,0.5954874753952026,-0.07915119081735611,0.6147776246070862,0.6200671792030334,-0.07279133796691895"
000213.png,A,"0.7254618406295776,0.5124630331993103,1.3379940355662256e-07,0.6685014367103577,0.40537357330322266,-0.02842186950147152,0.5749561786651611,0.36017486453056335,-0.04648768901824951,0.4970642328262329,0.36635705828666687,-0.06465411931276321,0.4313286244869232,0.3639276921749115,-0.07634768635034561,0.47533541917800903,0.42258667945861816,-0.03104843944311142,0.4712158739566803,0.3568486273288727,-0.08515568822622299,0.5366393327713013,0.3619686961174011,-0.10798849910497665,0.584725558757782,0.38106459379196167,-0.11180774867534637,0.46926411986351013,0.4933536946773529,-0.03541272506117821,0.49036458134651184,0.4167451858520508,-0.09441982209682465,0.5696683526039124,0.41923558712005615,-0.10471200197935104,0.6198174357414246,0.43256357312202454,-0.09753492474555969,0.4855101704597473,0.5612795948982239,-0.04598734900355339,0.5226526856422424,0.4844491481781006,-0.10520388931035995,0.6046318411827087,0.4840870499610901,-0.09611663967370987,0.6542448997497559,0.4927516281604767,-0.07316689938306808,0.514348030090332,0.6239612698554993,-0.05866534635424614,0.5521259307861328,0.555493175983429,-0.10014821588993073,0.6157242059707642,0.5319355130195618,-0.09619605541229248,0.65406733751297,0.5195149779319763,-0.08042238652706146"
000214.png,A,"0.6723114848136902,0.6997367143630981,-9.24448499972641e-07,0.6664171814918518,0.5926917195320129,-0.04361838847398758,0.610283374786377,0.48057425022125244,-0.06393905729055405,0.5552034378051758,0.3993520140647888,-0.0827338770031929,0.5067218542098999,0.34700456261634827,-0.09903442859649658,0.4759092628955841,0.4692757725715637,-0.020954126492142677,0.5342068672180176,0.43235844373703003,-0.07338538765907288,0.5902464985847473,0.4939239025115967,-0.11738789826631546,0.6207574605941772,0.5598899722099304,-0.14286121726036072,0.45125919580459595,0.4965086579322815,-0.018119223415851593,0.521694540977478,0.4601086676120758,-0.0729060098528862,0.5871115326881409,0.537796139717102,-0.10433586686849594,0.6257292628288269,0.6006695628166199,-0.1181488111615181,0.4446571469306946,0.5339215397834778,-0.02368665486574173,0.5100980401039124,0.5027155876159668,-0.08057929575443268,0.5734977126121521,0.5713063478469849,-0.09830667078495026,0.6141873598098755,0.627877950668335,-0.09867202490568161,0.45015281438827515,0.5836281180381775,-0.0333576500415802,0.5029963850975037,0.5650964975357056,-0.0769767090678215,0.5589014887809753,0.5959663987159729,-0.09072007238864899,0.5909662842750549,0.619794487953186,-0.09149915724992752"
000215.png,A,"0.7161586284637451,0.5202344059944153,2.871939486226438e-08,0.667370617389679,0.3993353843688965,-0.029794475063681602,0.5682998299598694,0.34165728092193604,-0.04073386266827583,0.4894092381000519,0.3498494029045105,-0.05191059410572052,0.4286096692085266,0.35967862606048584,-0.05687020719051361,0.469103068113327,0.41581112146377563,-0.028097886592149734,0.45709821581840515,0.3812798857688904,-0.07744551450014114,0.529070258140564,0.3852473497390747,-0.10129561275243759,0.579564094543457,0.3979494869709015,-0.10730518400669098,0.47276949882507324,0.49374520778656006,-0.02973213791847229,0.4949897825717926,0.4709121882915497,-0.08033375442028046,0.5746270418167114,0.4507875442504883,-0.09087680280208588,0.6257935166358948,0.4437177777290344,-0.08625613898038864,0.4980299174785614,0.5638386011123657,-0.03791990131139755,0.5317895412445068,0.5420457124710083,-0.08917757868766785,0.6082161068916321,0.5092135071754456,-0.0859149843454361,0.6592584848403931,0.48911720514297485,-0.06898250430822372,0.5334673523902893,0.6219772696495056,-0.04894261807203293,0.5701071619987488,0.5992187857627869,-0.08604493737220764,0.6265876889228821,0.5637257695198059,-0.08777447044849396,0.6658753752708435,0.5318663120269775,-0.07724864780902863"
000216.png,A,"0.7169166803359985,0.4109813868999481,-2.6962069910041464e-07,0.6423744559288025,0.3265487849712372,-0.028954340144991875,0.5315276980400085,0.3273286819458008,-0.03684128448367119,0.4544926881790161,0.36654165387153625,-0.04391242191195488,0.39654722809791565,0.39554351568222046,-0.04524441808462143,0.4608674645423889,0.4443652033805847,-0.0218582134693861,0.44649115204811096,0.3950701355934143,-0.07023490220308304,0.5177118182182312,0.37988823652267456,-0.0935995876789093,0.57200026512146,0.37734508514404297,-0.0993548184633255,0.47397640347480774,0.5177855491638184,-0.020665189251303673,0.4851841628551483,0.4618409276008606,-0.07273565232753754,0.5611112713813782,0.4352453947067261,-0.08258967846632004,0.6132943630218506,0.41765645146369934,-0.0763443186879158,0.5053316950798035,0.5763276815414429,-0.02619347721338272,0.5302802920341492,0.5218616127967834,-0.07766979932785034,0.6037987470626831,0.4807809889316559,-0.07276827841997147,0.6526529788970947,0.4546204209327698,-0.05424325540661812,0.5455950498580933,0.6230621337890625,-0.034249912947416306,0.5689770579338074,0.5748684406280518,-0.06940847635269165,0.6207643151283264,0.531013011932373,-0.06843844801187515,0.6526962518692017,0.5009697079658508,-0.05636347457766533"
000217.png,A,"0.6418555974960327,0.6160756945610046,-5.042469979343878e-07,0.6634519100189209,0.567540168762207,-0.0757560059428215,0.6555663347244263,0.5054896473884583,-0.1295401155948639,0.6334277391433716,0.47905775904655457,-0.17589066922664642,0.596003532409668,0.4790487289428711,-0.2165846824645996,0.5075262188911438,0.47387537360191345,-0.10313337296247482,0.5230302810668945,0.42057210206985474,-0.18166108429431915,0.5780296921730042,0.45890137553215027,-0.22866955399513245,0.6136063933372498,0.5083887577056885,-0.2527632415294647,0.47899746894836426,0.5110579133033752,-0.0960230752825737,0.5003098845481873,0.45923686027526855,-0.18008261919021606,0.5641486644744873,0.5213547945022583,-0.22019881010055542,0.6064823865890503,0.5786525011062622,-0.23950517177581787,0.46286481618881226,0.5564228296279907,-0.0968259647488594,0.4887351393699646,0.5107609629631042,-0.1762441247701645,0.5531690120697021,0.5718387365341187,-0.20394162833690643,0.5988394618034363,0.6272387504577637,-0.20988987386226654,0.45797157287597656,0.6061655282974243,-0.1027907133102417,0.46926093101501465,0.5830166339874268,-0.15915198624134064,0.5160763263702393,0.6070464849472046,-0.18031516671180725,0.555428147315979,0.6387776136398315,-0.18725506961345673"
000220.png,A,"0.6824272871017456,0.3425045907497406,-2.1982616260629584e-07,0.5720694065093994,0.28597503900527954,-0.010879546403884888,0.4828682839870453,0.32489725947380066,-0.012983551248908043,0.42780566215515137,0.3889940083026886,-0.024875082075595856,0.39210766553878784,0.4420543909072876,-0.032465651631355286,0.44472119212150574,0.4304295480251312,0.043634701520204544,0.4057314097881317,0.44427236914634705,-0.022892167791724205,0.4561964273452759,0.40329524874687195,-0.06814529001712799,0.5077946186065674,0.3642033338546753,-0.08496133983135223,0.4753451347351074,0.4938278794288635,0.026304803788661957,0.44213414192199707,0.5002561211585999,-0.05586417391896248,0.4997667372226715,0.4406368136405945,-0.09260827302932739,0.5547489523887634,0.38121160864830017,-0.09328120201826096,0.5128712058067322,0.5503848195075989,-0.0029479649383574724,0.490020215511322,0.5435951948165894,-0.08408097922801971,0.5491734147071838,0.4701358377933502,-0.09416838735342026,0.5980685353279114,0.4138849973678589,-0.07413379848003387,0.5564711689949036,0.6029982566833496,-0.03354766592383385,0.532139241695404,0.5767143368721008,-0.09191220253705978,0.5751869678497314,0.5088741183280945,-0.09624657034873962,0.608448326587677,0.46001672744750977,-0.08013395965099335"
000221.png,A,"0.7205836176872253,0.5666889548301697,-8.975351875051274e-07,0.6907224655151367,0.45873400568962097,-0.0677274838089943,0.6076106429100037,0.38562387228012085,-0.10415354371070862,0.5324687361717224,0.3570387065410614,-0.13372425734996796,0.4676624834537506,0.3442118763923645,-0.15954749286174774,0.4805241823196411,0.4503858685493469,-0.06889662891626358,0.5001896619796753,0.4340285360813141,-0.1398783028125763,0.5722436904907227,0.4550175368785858,-0.19081780314445496,0.6245967149734497,0.4794654846191406,-0.21853052079677582,0.4622189998626709,0.5278513431549072,-0.059687744826078415,0.49672049283981323,0.4975322484970093,-0.13263307511806488,0.5787129998207092,0.522706925868988,-0.17062392830848694,0.6352070569992065,0.5402820706367493,-0.18711932003498077,0.465301513671875,0.5920782685279846,-0.05943959578871727,0.5060418248176575,0.5687721371650696,-0.12574335932731628,0.5815829634666443,0.5837725400924683,-0.14834927022457123,0.6370700597763062,0.5952281951904297,-0.1516587734222412,0.48175758123397827,0.6516882181167603,-0.06489881873130798,0.5211760401725769,0.637837290763855,-0.11121407151222229,0.5824502110481262,0.6355807185173035,-0.12783949077129364,0.6225934624671936,0.6339951753616333,-0.13107141852378845"
000222.png,A,"0.7217288017272949,0.44638293981552124,-4.10174408216335e-07,0.6579302549362183,0.3563168942928314,-0.027735602110624313,0.5521523952484131,0.3285532593727112,-0.035841554403305054,0.46952125430107117,0.354828804731369,-0.04387739300727844,0.4051695168018341,0.3758971691131592,-0.04727835953235626,0.46577510237693787,0.44081997871398926,-0.006851572077721357,0.4596240222454071,0.40466487407684326,-0.05066709592938423,0.5322099924087524,0.3963560461997986,-0.07630457729101181,0.5885722637176514,0.3965383768081665,-0.08378592878580093,0.4717116951942444,0.5169656872749329,-0.005110152531415224,0.48750483989715576,0.4714199900627136,-0.04990383982658386,0.565305769443512,0.4496949315071106,-0.06211940944194794,0.6214640736579895,0.4373909831047058,-0.057565800845623016,0.4965311884880066,0.5797674655914307,-0.01047598384320736,0.5201038122177124,0.5363320112228394,-0.05675431713461876,0.5949155688285828,0.5018291473388672,-0.054374318569898605,0.648321270942688,0.4815411865711212,-0.037548597902059555,0.5340224504470825,0.6318912506103516,-0.018163684755563736,0.547368586063385,0.5947801470756531,-0.052483633160591125,0.602145254611969,0.556128740310669,-0.051553670316934586,0.6416242718696594,0.5311453938484192,-0.03830616548657417"
000223.png,A,"0.6902251839637756,0.6652041673660278,-9.721177320898278e-07,0.6792619228363037,0.5439127087593079,-0.02650151401758194,0.6154764294624329,0.43762481212615967,-0.0382319800555706,0.5569526553153992,0.36919137835502625,-0.05164489895105362,0.5097050070762634,0.3319864869117737,-0.06206631287932396,0.4879298806190491,0.47382810711860657,0.0029559924732893705,0.5268750190734863,0.41141387820243835,-0.03808335214853287,0.5853074193000793,0.4576261639595032,-0.07153776288032532,0.6197514533996582,0.5162782669067383,-0.08989135921001434,0.4572114646434784,0.521841287612915,-0.000250763026997447,0.5177842378616333,0.47623902559280396,-0.0392952598631382,0.588921070098877,0.5324568748474121,-0.06249653175473213,0.6249036192893982,0.5849177837371826,-0.07281871885061264,0.44617971777915955,0.5788766145706177,-0.010722153820097446,0.5024220943450928,0.5396787524223328,-0.054406728595495224,0.5744620561599731,0.5859004855155945,-0.06684278696775436,0.6155077815055847,0.6350822448730469,-0.06520450860261917,0.448305606842041,0.6450382471084595,-0.024035166949033737,0.4903746545314789,0.6117285490036011,-0.05243656039237976,0.5500695109367371,0.6315102577209473,-0.057810742408037186,0.5859044790267944,0.6628637313842773,-0.05419622361660004"
000224.png,A,"0.6725937128067017,0.695777416229248,-7.846055041227373e-07,0.6813521385192871,0.5491843223571777,-0.035526979714632034,0.6178930997848511,0.43470439314842224,-0.04549337923526764,0.5531328916549683,0.37799307703971863,-0.05193469300866127,0.5023391842842102,0.3348396420478821,-0.05399616062641144,0.5111123323440552,0.4199165403842926,-0.035501521080732346,0.5276868343353271,0.3754957914352417,-0.08461340516805649,0.5813364386558533,0.43734681606292725,-0.11231829226016998,0.6199400424957275,0.4921163022518158,-0.12324805557727814,0.4706003665924072,0.4747638702392578,-0.03022202104330063,0.5279438495635986,0.4652373790740967,-0.07849743962287903,0.5872203707695007,0.5332779288291931,-0.0871284008026123,0.6256899833679199,0.5774417519569397,-0.0826774314045906,0.4528796076774597,0.538384199142456,-0.03255093842744827,0.5248369574546814,0.5471816658973694,-0.0740952417254448,0.5821311473846436,0.5957169532775879,-0.06971216946840286,0.6191763281822205,0.625702977180481,-0.05719859153032303,0.44854214787483215,0.6051234602928162,-0.039331547915935516,0.5178402662277222,0.6219024062156677,-0.06646320968866348,0.5719602108001709,0.6509312987327576,-0.06769482046365738,0.6020346879959106,0.657970130443573,-0.060587022453546524"
000225.png,A,"0.7168004512786865,0.5831723213195801,-2.649575208124588e-07,0.6835764646530151,0.45618563890457153,-0.02467053011059761,0.5952509045600891,0.3752748966217041,-0.03254164010286331,0.5180649757385254,0.3483235538005829,-0.03986857086420059,0.45664697885513306,0.3362090587615967,-0.04132696986198425,0.4883164167404175,0.4266003370285034,-0.021173521876335144,0.5061850547790527,0.37798184156417847,-0.06529109925031662,0.5690134167671204,0.41909170150756836,-0.08559276908636093,0.6130959987640381,0.45039939880371094,-0.09048223495483398,0.468080073595047,0.49628356099128723,-0.021246088668704033,0.5177468061447144,0.4597576856613159,-0.0667114332318306,0.5891107320785522,0.4907125234603882,-0.07375723123550415,0.6385964155197144,0.5080785155296326,-0.0678725391626358,0.4718673825263977,0.5662768483161926,-0.0274423286318779,0.5306891798973083,0.5398445725440979,-0.0717371478676796,0.6021126508712769,0.5522927641868591,-0.0687624141573906,0.651536762714386,0.5596789121627808,-0.054716791957616806,0.4905219078063965,0.6318774819374084,-0.036122877150774,0.5410435795783997,0.6131731271743774,-0.06669145822525024,0.5982378721237183,0.6093825101852417,-0.06942611932754517,0.636870265007019,0.6008394360542297,-0.06224624067544937"
000226.png,A,"0.6910322308540344,0.6683923006057739,-9.37332913508726e-07,0.6823739409446716,0.5310704708099365,-0.0317654013633728,0.6139706373214722,0.4239627420902252,-0.04201117530465126,0.5456724166870117,0.3731616139411926,-0.04935062676668167,0.4894266724586487,0.33668583631515503,-0.05344206094741821,0.5043262243270874,0.41581428050994873,-0.028666220605373383,0.5317098498344421,0.3835986256599426,-0.0737282857298851,0.5875300168991089,0.44422879815101624,-0.10615649819374084,0.6283111572265625,0.501093864440918,-0.12158582359552383,0.4678242802619934,0.47909659147262573,-0.02420874498784542,0.5301394462585449,0.47929757833480835,-0.06626370549201965,0.5916053652763367,0.5419793725013733,-0.08213229477405548,0.6337019801139832,0.5859697461128235,-0.0848383754491806,0.4549638032913208,0.548734188079834,-0.025699330493807793,0.5238968729972839,0.555826723575592,-0.062433332204818726,0.5823152661323547,0.5982440114021301,-0.06417100131511688,0.6222532987594604,0.6282063126564026,-0.05637071281671524,0.45720425248146057,0.6195173263549805,-0.030881742015480995,0.5106276869773865,0.6303783655166626,-0.05448621138930321,0.5634366869926453,0.6501324772834778,-0.05472959950566292,0.5961659550666809,0.6588963270187378,-0.04685401916503906"
000227.png,A,"0.7290305495262146,0.5321952104568481,-1.4564680839157518e-07,0.6808212995529175,0.4221514165401459,-0.015884997323155403,0.587108850479126,0.3533405065536499,-0.020103609189391136,0.5085680484771729,0.35287293791770935,-0.028001300990581512,0.4489642381668091,0.3495779037475586,-0.031404126435518265,0.4837287962436676,0.4096246361732483,0.008433632552623749,0.4796845614910126,0.37448665499687195,-0.032525788992643356,0.5432026386260986,0.3882375955581665,-0.05682065710425377,0.5962468385696411,0.40399569272994995,-0.06371384114027023,0.47006237506866455,0.4817485809326172,0.0014740671031177044,0.48349693417549133,0.43334656953811646,-0.043333686888217926,0.5600605607032776,0.4457609951496124,-0.05758113041520119,0.6214279532432556,0.46016329526901245,-0.05351991951465607,0.4746788442134857,0.5546212196350098,-0.012143662199378014,0.49979642033576965,0.5054807662963867,-0.059810079634189606,0.5788286328315735,0.5072643756866455,-0.05933172255754471,0.6374847888946533,0.5129008293151855,-0.04288705810904503,0.4937479496002197,0.6245909333229065,-0.027160054072737694,0.5108495950698853,0.5739621520042419,-0.06046527996659279,0.572329580783844,0.5572303533554077,-0.05837233364582062,0.6191444396972656,0.5476598739624023,-0.04489440098404884"
000228.png,A,"0.6513773202896118,0.6837506294250488,-9.0713842837431e-07,0.6632718443870544,0.572954535484314,-0.041314732283353806,0.6286576986312866,0.45894426107406616,-0.06333834677934647,0.5781642198562622,0.3892470598220825,-0.08112100511789322,0.5310975313186646,0.33481669425964355,-0.09634140878915787,0.5153231620788574,0.41703200340270996,-0.04506690055131912,0.5623927116394043,0.40366506576538086,-0.0910753533244133,0.6003071665763855,0.47131624817848206,-0.12546202540397644,0.6251035928726196,0.5344491600990295,-0.14406068623065948,0.47020748257637024,0.47473862767219543,-0.03902539983391762,0.5470762252807617,0.4939926862716675,-0.07771769165992737,0.5886442065238953,0.5640525221824646,-0.09770181775093079,0.619062602519989,0.6139851808547974,-0.10847634077072144,0.4494461417198181,0.5432130098342896,-0.03817691281437874,0.5268964171409607,0.5762752294540405,-0.07453016191720963,0.5703955888748169,0.6277248859405518,-0.08364701271057129,0.6027981042861938,0.664252519607544,-0.08478420972824097,0.4439298212528229,0.6199983358383179,-0.04154122620820999,0.5070980787277222,0.647983729839325,-0.06827112287282944,0.5556681156158447,0.6732984781265259,-0.0743597075343132,0.5885103940963745,0.6883066892623901,-0.07312330603599548"
000229.png,A,"0.6975365281105042,0.6015589833259583,9.008005279198539e-12,0.6858012676239014,0.4803619980812073,-0.04093301296234131,0.6048375368118286,0.39012598991394043,-0.05605611205101013,0.5215619802474976,0.36038434505462646,-0.0704035684466362,0.4611036479473114,0.3467344641685486,-0.07954444736242294,0.5084182024002075,0.4083966016769409,-0.022589080035686493,0.49161002039909363,0.3764719069004059,-0.09507275372743607,0.5490511655807495,0.4153704345226288,-0.13645067811012268,0.6013585925102234,0.4497542977333069,-0.1505308598279953,0.4833681285381317,0.4831337332725525,-0.022966472432017326,0.4716338515281677,0.4529089033603668,-0.10560286045074463,0.5470289587974548,0.4819336533546448,-0.1327117532491684,0.6119744777679443,0.5040334463119507,-0.12953244149684906,0.4735567569732666,0.557201623916626,-0.033682677894830704,0.4824466109275818,0.5410599708557129,-0.1125578060746193,0.5677065849304199,0.562893807888031,-0.11438263952732086,0.626984715461731,0.577351450920105,-0.09153924882411957,0.47266626358032227,0.6328767538070679,-0.047474585473537445,0.4875371754169464,0.6077889204025269,-0.10241487622261047,0.55413818359375,0.6184300780296326,-0.10413076728582382,0.5998566150665283,0.620089054107666,-0.08815695345401764"
000230.png,A,"0.7171058654785156,0.5317612886428833,-3.2148443551704986e-07,0.6779996752738953,0.42025822401046753,-0.03106057643890381,0.5782628059387207,0.35862648487091064,-0.03985549509525299,0.49576279520988464,0.35387325286865234,-0.04607388749718666,0.43225640058517456,0.34576791524887085,-0.04734581336379051,0.4666541814804077,0.4324294328689575,-0.02434319630265236,0.4737200438976288,0.38824141025543213,-0.0675482302904129,0.5431070923805237,0.4064542353153229,-0.08967801928520203,0.6005305051803589,0.4291079640388489,-0.09550945460796356,0.45576903223991394,0.5125898718833923,-0.021245315670967102,0.4882279932498932,0.47455620765686035,-0.06941190361976624,0.5713039636611938,0.48044735193252563,-0.08114570379257202,0.6338237524032593,0.4854470491409302,-0.07548071444034576,0.4723886549472809,0.5851165652275085,-0.02365243062376976,0.5116543173789978,0.5590423941612244,-0.07147729396820068,0.5945013165473938,0.5480661988258362,-0.06975000351667404,0.6523350477218628,0.5416179895401001,-0.05397764965891838,0.5053947567939758,0.6494365930557251,-0.028464023023843765,0.5464187264442444,0.633493185043335,-0.06677207350730896,0.609290599822998,0.6079401969909668,-0.06969983130693436,0.6491432785987854,0.5854366421699524,-0.059181924909353256"
000231.png,A,"0.7102095484733582,0.6359656453132629,-1.038922277984966e-06,0.6940125823020935,0.4991830289363861,-0.034538865089416504,0.6103679537773132,0.39481455087661743,-0.0444500595331192,0.5357949733734131,0.3618082106113434,-0.05113628879189491,0.47556427121162415,0.3390803039073944,-0.05412771925330162,0.49082663655281067,0.41289252042770386,-0.02561512589454651,0.5169483423233032,0.3741326332092285,-0.07073014974594116,0.5848901271820068,0.4280511140823364,-0.10324537754058838,0.6341933608055115,0.4755536615848541,-0.11890620738267899,0.4593800902366638,0.4834806025028229,-0.02070726454257965,0.5187467336654663,0.45219752192497253,-0.06344880908727646,0.5895364880561829,0.5082056522369385,-0.07852443307638168,0.639468252658844,0.5446013808250427,-0.07978326827287674,0.45330196619033813,0.5544031262397766,-0.022408435121178627,0.5219424962997437,0.5302279591560364,-0.05998469144105911,0.5885712504386902,0.5692194104194641,-0.06070149317383766,0.6348117589950562,0.5935897827148438,-0.05188916623592377,0.46436893939971924,0.6214838027954102,-0.028433360159397125,0.5261616110801697,0.6052969098091125,-0.05267796665430069,0.5844020843505859,0.6161433458328247,-0.05354573577642441,0.6189911961555481,0.6172869205474854,-0.04621867090463638"
000232.png,A,"0.7332632541656494,0.4855055809020996,-3.521889269109124e-08,0.6590256690979004,0.35846132040023804,-0.009543913416564465,0.5502635836601257,0.3281732201576233,-0.02081136777997017,0.46955186128616333,0.34963172674179077,-0.03721063956618309,0.4106253683567047,0.37910324335098267,-0.049868278205394745,0.4738573133945465,0.4276094436645508,-0.021955205127596855,0.46061041951179504,0.3905777931213379,-0.08261517435312271,0.5310242772102356,0.38298556208610535,-0.11612493544816971,0.5832559466362,0.38571929931640625,-0.12985281646251678,0.4793769121170044,0.5010995864868164,-0.04038714990019798,0.4783685505390167,0.4515919089317322,-0.10738013684749603,0.5578612089157104,0.42991918325424194,-0.12547923624515533,0.6184808611869812,0.4253460466861725,-0.12544108927249908,0.5018773078918457,0.5670228600502014,-0.06442789733409882,0.5090078711509705,0.5183373689651489,-0.1261536329984665,0.5889911651611328,0.48477980494499207,-0.11998625099658966,0.6450945138931274,0.4705284833908081,-0.10141291469335556,0.5336971879005432,0.621680498123169,-0.08977770805358887,0.5394560694694519,0.5756891369819641,-0.1345345377922058,0.5946582555770874,0.538382887840271,-0.13368618488311768,0.6357986927032471,0.5130506753921509,-0.12255379557609558"
000233.png,A,"0.6944416165351868,0.6252983212471008,-8.242153057835822e-07,0.6844118237495422,0.520591676235199,-0.05453450232744217,0.6250482201576233,0.4208548665046692,-0.0799371749162674,0.5546749830245972,0.37325310707092285,-0.09796883910894394,0.4899340271949768,0.3432385325431824,-0.11279944330453873,0.5019171833992004,0.41709187626838684,-0.044799014925956726,0.5258700251579285,0.4502630829811096,-0.09405095130205154,0.5767544507980347,0.4969780147075653,-0.13069239258766174,0.6210974454879761,0.5287602543830872,-0.14805389940738678,0.46546700596809387,0.486928254365921,-0.03150847181677818,0.5130877494812012,0.5238738059997559,-0.07706494629383087,0.577501118183136,0.5636585354804993,-0.09829108417034149,0.6304703950881958,0.5843073129653931,-0.10445459932088852,0.4555818736553192,0.5601829886436462,-0.025275012478232384,0.5053513646125793,0.596613883972168,-0.06872359663248062,0.5696465969085693,0.6167219281196594,-0.07484268397092819,0.6220190525054932,0.6255267858505249,-0.06862588971853256,0.46111685037612915,0.6352168917655945,-0.02394142933189869,0.5047625303268433,0.668799638748169,-0.05614292994141579,0.5636765956878662,0.6720753908157349,-0.059854887425899506,0.604830265045166,0.6662320494651794,-0.05277195945382118"
000234.png,A,"0.6889110803604126,0.6462517380714417,-6.791173063902534e-07,0.6781245470046997,0.4969421327114105,0.006848520133644342,0.6117962598800659,0.4099266529083252,0.004172555636614561,0.547258734703064,0.37231725454330444,-0.005380354821681976,0.5001792907714844,0.3345155715942383,-0.012742124497890472,0.5014855265617371,0.42817580699920654,-0.015713045373558998,0.5089206695556641,0.35083454847335815,-0.056207504123449326,0.5747518539428711,0.40206199884414673,-0.07182152569293976,0.6208468675613403,0.45184874534606934,-0.07620403170585632,0.47962138056755066,0.48474231362342834,-0.03829645365476608,0.521411120891571,0.41643595695495605,-0.08340758830308914,0.5917264223098755,0.476277232170105,-0.08259186148643494,0.6377354860305786,0.5254884362220764,-0.07320168614387512,0.4764348268508911,0.5452019572257996,-0.0643913671374321,0.529548168182373,0.4873870313167572,-0.10380689799785614,0.5947821736335754,0.5363839864730835,-0.08591284602880478,0.6333972215652466,0.576886773109436,-0.06672188639640808,0.4812752902507782,0.6083067059516907,-0.0910097137093544,0.5311362743377686,0.5582306385040283,-0.11836771667003632,0.5902112126350403,0.589813232421875,-0.10762690007686615,0.6242348551750183,0.6130031943321228,-0.09332150965929031"
